canonical_term,priority_tier,core_or_fringe OR any other category suggestion?
in,Tier 2 - Faison expansion,Prepositions
mouth,Tier 2 - Faison expansion,Body parts
off,Tier 2 - Faison expansion,Prepositions
ok/fine,Tier 2 - Faison expansion,fringe/personalizable
out,Tier 2 - Faison expansion,Prepositions
pink,Tier 2 - Faison expansion,Colors
train,Tier 2 - Faison expansion,vehicles
trampoline,Tier 2 - Faison expansion,toys
up,Tier 2 - Faison expansion,prepositions
balloon,Tier 2 - Faison expansion,toys
bubbles,Tier 2 - Faison expansion,toys
car,Tier 2 - Faison expansion,vehicles
game,Tier 2 - Faison expansion,toys/games
ipad,Tier 2 - Faison expansion,technology
music,Tier 2 - Faison expansion,fringe/personalizable
puzzle,Tier 2 - Faison expansion,toys
sand,Tier 2 - Faison expansion,Nature/Beach/Toys
toy,Tier 2 - Faison expansion,toys
toy/game,Tier 2 - Faison expansion,toys/games
books,Tier 2 - Faison expansion,core
chips,Tier 2 - Faison expansion,Eat/Food/Snacks
cookie,Tier 2 - Faison expansion,Eat/Food/Snacks
hi / hello,Tier 2 - Faison expansion,social
shirt,Tier 2 - Faison expansion,clothing
white,Tier 2 - Faison expansion,color
boat,Tier 2 - Faison expansion,vehicle
already,Tier 3 - Reference expansion,core
because,Tier 3 - Reference expansion,core
buy,Tier 3 - Reference expansion,core
call,Tier 3 - Reference expansion,core
catch,Tier 3 - Reference expansion,core
cause,Tier 3 - Reference expansion,core
come,Tier 3 - Reference expansion,core
comes,Tier 3 - Reference expansion,core
cut,Tier 3 - Reference expansion,core
doctor,Tier 3 - Reference expansion,core
does,Tier 3 - Reference expansion,core
doesn't,Tier 3 - Reference expansion,core
doing,Tier 3 - Reference expansion,core
don't,Tier 3 - Reference expansion,core
done,Tier 3 - Reference expansion,core
door,Tier 3 - Reference expansion,core
eating,Tier 3 - Reference expansion,core
find,Tier 3 - Reference expansion,core
get,Tier 3 - Reference expansion,core
gets,Tier 3 - Reference expansion,core
getting,Tier 3 - Reference expansion,core
give,Tier 3 - Reference expansion,core
goes,Tier 3 - Reference expansion,core
going,Tier 3 - Reference expansion,core
gonna,Tier 3 - Reference expansion,core
great,Tier 3 - Reference expansion,core
hold,Tier 3 - Reference expansion,core
house,Tier 3 - Reference expansion,Location
jumped,Tier 3 - Reference expansion,action
jumping,Tier 3 - Reference expansion,action
look,Tier 3 - Reference expansion,core
looking,Tier 3 - Reference expansion,core
ready,Tier 3 - Reference expansion,core
ride,Tier 3 - Reference expansion,core
say,Tier 3 - Reference expansion,core
show,Tier 3 - Reference expansion,core
shut,Tier 3 - Reference expansion,core
sit,Tier 3 - Reference expansion,action
together,Tier 3 - Reference expansion,core
try,Tier 3 - Reference expansion,core
trying,Tier 3 - Reference expansion,core
use,Tier 3 - Reference expansion,core
used,Tier 3 - Reference expansion,core
wait,Tier 3 - Reference expansion,core
wanted,Tier 3 - Reference expansion,core
watch,Tier 3 - Reference expansion,core
face,Tier 3 - Reference expansion,body parts
foot,Tier 3 - Reference expansion,body parts
hands,Tier 3 - Reference expansion,Body parts
what,Tier 3 - Reference expansion,Question words
what's,Tier 3 - Reference expansion,Question words
different,Tier 3 - Reference expansion,fringe/personalizable
hot,Tier 3 - Reference expansion,fringe/personalizable
nice,Tier 3 - Reference expansion,fringe/personalizable
right,Tier 3 - Reference expansion,fringe/personalizable
same,Tier 3 - Reference expansion,fringe/personalizable
whole,Tier 3 - Reference expansion,fringe/personalizable
bean,Tier 3 - Reference expansion,Eat/Food
corn,Tier 3 - Reference expansion,Eat/Food
lunch,Tier 3 - Reference expansion,Meals
a,Tier 3 - Reference expansion,core
an,Tier 3 - Reference expansion,core
and,Tier 3 - Reference expansion,core
are,Tier 3 - Reference expansion,core
as,Tier 3 - Reference expansion,core
at,Tier 3 - Reference expansion,core
be,Tier 3 - Reference expansion,core
but,Tier 3 - Reference expansion,core
by,Tier 3 - Reference expansion,core
for,Tier 3 - Reference expansion,core
from,Tier 3 - Reference expansion,core
of,Tier 3 - Reference expansion,core
on,Tier 3 - Reference expansion,core
or,Tier 3 - Reference expansion,core
over,Tier 3 - Reference expansion,core
those,Tier 3 - Reference expansion,core
to,Tier 3 - Reference expansion,core
was,Tier 3 - Reference expansion,core
another,Tier 3 - Reference expansion,core
bird,Tier 3 - Reference expansion,Animal
birds,Tier 3 - Reference expansion,core
bite,Tier 3 - Reference expansion,core
boy,Tier 3 - Reference expansion,People
came,Tier 3 - Reference expansion,core
did,Tier 3 - Reference expansion,core
didn't,Tier 3 - Reference expansion,core
everybody,Tier 3 - Reference expansion,core
fire,Tier 3 - Reference expansion,core
first,Tier 3 - Reference expansion,core
five,Tier 3 - Reference expansion,core
fixed,Tier 3 - Reference expansion,core
girl,Tier 3 - Reference expansion,People
girls,Tier 3 - Reference expansion,core
guys,Tier 3 - Reference expansion,core
hair,Tier 3 - Reference expansion,Body parts
he,Tier 3 - Reference expansion,Personal pronouns
he's,Tier 3 - Reference expansion,core
head,Tier 3 - Reference expansion,Body parts
hear,Tier 3 - Reference expansion,core
her,Tier 3 - Reference expansion,core
here,Tier 3 - Reference expansion,core
here's,Tier 3 - Reference expansion,core
i'll,Tier 3 - Reference expansion,core
i'm,Tier 3 - Reference expansion,core
if,Tier 3 - Reference expansion,core
is,Tier 3 - Reference expansion,core
isn't,Tier 3 - Reference expansion,core
it,Tier 3 - Reference expansion,core
it's,Tier 3 - Reference expansion,core
just,Tier 3 - Reference expansion,core
lift,Tier 3 - Reference expansion,core
mean,Tier 3 - Reference expansion,core
messy,Tier 3 - Reference expansion,core
middle,Tier 3 - Reference expansion,core
mommy,Tier 3 - Reference expansion,core
must,Tier 3 - Reference expansion,core
myself,Tier 3 - Reference expansion,core
name,Tier 3 - Reference expansion,core
named,Tier 3 - Reference expansion,core
our,Tier 3 - Reference expansion,core
ours,Tier 3 - Reference expansion,core
people,Tier 3 - Reference expansion,core
pick,Tier 3 - Reference expansion,core
piece,Tier 3 - Reference expansion,core
remember,Tier 3 - Reference expansion,core
said,Tier 3 - Reference expansion,core
she,Tier 3 - Reference expansion,core
she's,Tier 3 - Reference expansion,core
side,Tier 3 - Reference expansion,core
some,Tier 3 - Reference expansion,core
somebody,Tier 3 - Reference expansion,core
someone,Tier 3 - Reference expansion,core
sometimes,Tier 3 - Reference expansion,core
still,Tier 3 - Reference expansion,core
then,Tier 3 - Reference expansion,core
there,Tier 3 - Reference expansion,core
there's,Tier 3 - Reference expansion,core
these,Tier 3 - Reference expansion,core
they,Tier 3 - Reference expansion,core
they'll,Tier 3 - Reference expansion,core
they're,Tier 3 - Reference expansion,core
time,Tier 3 - Reference expansion,core
us,Tier 3 - Reference expansion,core
we,Tier 3 - Reference expansion,core
we'll,Tier 3 - Reference expansion,core
we're,Tier 3 - Reference expansion,core
well,Tier 3 - Reference expansion,core
