canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
can't,can't,word,Negation/Repair,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,negation/repair,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
couldn't,couldn't,word,Negation/Repair,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,negation/repair,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
haven't,haven't,word,Negation/Repair,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,negation/repair,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
know,know,word,Negation/Repair,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,verb/action,refusal/protest,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
no,No,word,Negation/Repair,Validation scenarios; Faison SLP collected words; Marvin 330 preschool words,Rejecting; Actions; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,negation/repair,refusal/protest,Rejecting,Yes,Yes,No,No / I don’t want that,I don't want that; All done; Different,Clear refusal; Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
not,not,word,Negation/Repair,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,negation/repair,refusal/protest,,Yes,Yes,No,,I don't want that; All done; Different,Reference expansion from Marvin et al. 330 preschool words
won't,won't,word,Negation/Repair,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,negation/repair,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
frustrated,Frustrated,word,People/Pronouns/Possessives,Faison SLP collected words,Feeling Words,Tier 1 - Phase I MVP,core,descriptor/adjective,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
i,I,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
me,Me,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
my,My,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
nervous,Nervous,word,People/Pronouns/Possessives,Faison SLP collected words,Feeling Words,Tier 1 - Phase I MVP,core,descriptor/adjective,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
sick,Sick,word,People/Pronouns/Possessives,Faison SLP collected words,Feeling Words,Tier 1 - Phase I MVP,core,descriptor/adjective,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
that,That,word,People/Pronouns/Possessives,Faison SLP collected words,People/Possessive,Tier 1 - Phase I MVP,core,word,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
you,You,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
