canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
carrot,Carrot,word,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
fruit,Fruit,word,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
juice,juice,word,Food/Drink,Faison SLP collected words; Marvin 330 preschool words,Items; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,Water/juice,I want ___; I need ___,Variant from slash-delimited Faison row; Reference expansion from Marvin et al. 330 preschool words
popcorn,Popcorn,word,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
pretzel,Pretzel,word,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
rice,Rice,word,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
water/juice,Water/juice,phrase,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,request,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
airplane,Airplane,word,Vehicles,Faison SLP collected words,Vehicles,Tier 2 - Faison expansion,core,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
bus,Bus,word,Vehicles,Faison SLP collected words,Vehicles,Tier 2 - Faison expansion,core,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
dad,Dad,word,People/Pronouns/Possessives,Faison SLP collected words,People/Possessive,Tier 2 - Faison expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
i'm frustrated,I’m frustrated,phrase,People/Pronouns/Possessives,Validation scenarios,Frustration,Tier 2 - Faison expansion,core,pronoun/person,regulation/body need,Frustration,Yes,Yes,No,Help me / I’m frustrated,,Emotional expression
mom,Mom,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
that's funny,That’s funny,phrase,People/Pronouns/Possessives,Validation scenarios,Commenting,Tier 2 - Faison expansion,core,pronoun/person,social,Commenting,Yes,Yes,No,,,Social commenting
their,Their,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
them,Them,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
tummy,Tummy,word,Body Parts,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,core,noun,general vocabulary,,Yes,Yes,No,Tummy/stomach,,Variant from slash-delimited Faison row
tummy/stomach,Tummy/stomach,phrase,People/Pronouns/Possessives,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
your,Your,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,People/Possessive; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
classroom,Classroom,word,Places,Faison SLP collected words,Locations,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
fine,Fine,word,Feelings,Faison SLP collected words,Greetings/Interjections,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,general vocabulary,,Yes,Yes,No,OK/Fine,,Variant from slash-delimited Faison row
gym,Gym,word,Places,Faison SLP collected words,Locations,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
home,Home,word,Places,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
i found something,I found something,phrase,Places,Validation scenarios,Sharing information,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,social,Sharing information,Yes,Yes,No,,,Expressive language
in,In,word,Places,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
mouth,Mouth,word,Places,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
off,Off,word,Places,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
ok/fine,OK/Fine,phrase,Places,Faison SLP collected words,Greetings/Interjections,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
out,Out,word,Places,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
pink,Pink,word,Descriptors,Faison SLP collected words,Colors,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
train,Train,word,Places,Faison SLP collected words,Vehicles,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
trampoline,Trampoline,word,Places,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
up,Up,word,Places,Faison SLP collected words; Marvin 330 preschool words,Locations; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,location/preposition,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
balloon,Balloon,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
bubbles,Bubbles,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
car,Car,word,Preferred Items,Faison SLP collected words; Marvin 330 preschool words,Items; Vehicles; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
game,Game,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,Toy/Game,I want ___; I need ___,Variant from slash-delimited Faison row
ipad,iPad,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
music,Music,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
puzzle,Puzzle,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
sand,Sand,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
toy,Toy,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,Toy/Game,I want ___; I need ___,Variant from slash-delimited Faison row
toy/game,Toy/Game,phrase,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
books,Books,word,Preferred Items,Faison SLP collected words,Items,Tier 2 - Faison expansion,core,noun,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
chips,Chips,word,Food/Drink,Faison SLP collected words,Items,Tier 2 - Faison expansion,core,noun,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
cookie,Cookie,word,Food/Drink,Faison SLP collected words; Marvin 330 preschool words,Items; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,noun,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
hi / hello,Hi / Hello,phrase,Social,Validation scenarios,Greeting,Tier 2 - Faison expansion,core,phrase,social,Greeting,Yes,Yes,No,,,Social initiation
shirt,Shirt,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,core,noun,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
white,White,word,Descriptors,Faison SLP collected words,Colors,Tier 2 - Faison expansion,core,descriptor/adjective,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison
boat,Boat,word,Vehicles,Faison SLP collected words,Vehicles,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
already,already,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
because,because,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
buy,buy,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
call,call,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
catch,catch,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
cause,cause,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
come,come,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
comes,comes,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
cut,cut,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
doctor,doctor,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
does,does,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
doesn't,doesn't,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
doing,doing,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
don't,don't,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
done,done,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
door,door,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
eating,eating,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,request,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
find,find,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
get,get,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
gets,gets,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
getting,getting,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
give,give,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
goes,goes,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
going,going,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
gonna,gonna,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
great,great,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,descriptor/adjective,request,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
hold,hold,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
house,house,word,Places,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
jumped,jumped,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
jumping,jumping,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
look,look,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
looking,looking,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
ready,ready,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
ride,ride,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
say,say,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
show,show,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
shut,shut,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
sit,sit,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
together,together,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
try,try,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
trying,trying,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
use,use,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
used,used,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
wait,wait,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
wanted,wanted,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,request,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
watch,watch,word,Actions,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
face,face,word,Body Parts,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
foot,foot,word,Body Parts,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
hands,hands,word,Body Parts,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
what,what,word,Question Words,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
what's,what's,word,Clothing,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
different,different,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,I don't want that; All done; Different,Reference expansion from Marvin et al. 330 preschool words
hot,hot,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
nice,nice,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
right,right,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
same,same,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
whole,whole,word,Descriptors,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
bean,bean,word,Food/Drink,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
corn,corn,word,Food/Drink,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
lunch,lunch,word,Food/Drink,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Reference expansion from Marvin et al. 330 preschool words
a,a,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
an,an,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
and,and,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
are,are,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
as,as,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
at,at,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
be,be,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
but,but,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
by,by,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
for,for,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
from,from,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
of,of,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
on,on,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
or,or,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
over,over,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
those,those,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
to,to,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
was,was,word,Function/Core,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
another,another,word,People/Pronouns/Possessives,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,refusal/protest,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
bird,bird,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
birds,birds,word,Preferred Items,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
